Entity,Type,PageRank,Community_ID
hematuria,Phenotype,0.0010965997268371152,4
cardiac thrombosis,Phenotype,0.0010965997268371152,4
ventilatory independence,Phenotype,0.0010965997268371152,4
acute liver failure,Phenotype,0.0010965997268371152,4
transaminitis,Phenotype,0.0010965997268371152,4
immune-mediated hepatotoxicity,Phenotype,0.0010965997268371152,4
transient thrombocytopenia,Phenotype,0.0010965997268371152,4
altered SmB expression,Phenotype,0.0010939416701072017,38
altered SmB localization,Phenotype,0.0010939416701072017,38
lower spinal motor neuron degeneration,Phenotype,0.0010939416701072017,21
neuromuscular junction maldevelopment,Phenotype,0.0010939416701072017,21
Mdm4 mis-splicing,Phenotype,0.0010939416701072017,38
motor coordination deficits,Phenotype,0.0010939416701072017,21
reduced contractile function,Phenotype,0.0010700846598913425,7
KIF5A,Protein,0.0010700846598913425,7
cardiac development impairment,Phenotype,0.0010700846598913425,7
spliceosomal snRNP assembly,Phenotype,0.0010700846598913425,7
decreased cardiomyocyte proliferation,Phenotype,0.0010700846598913425,7
increased apoptosis,Phenotype,0.0010700846598913425,7
"neuronal-astrocyte interactions regulating GABA metabolism, release and reuptake",Phenotype,0.0010700846598913425,7
muscular fat fraction,Phenotype,0.0010683582534556778,3
forced expiratory volume in 1 second,Phenotype,0.0010683582534556778,4
peak expiratory flow,Phenotype,0.0010683582534556778,4
maximal expiratory pressure,Phenotype,0.0010683582534556778,4
back pain,Phenotype,0.0010683582534556778,4
post-lumbar puncture syndrome,Phenotype,0.0010683582534556778,4
respiratory muscle strength,Phenotype,0.0010683582534556778,4
respiratory decline,Phenotype,0.0010683582534556778,4
taurine deficit,Phenotype,0.0010683582534556778,4
lymphoid pathology,Phenotype,0.0010683582534556778,4
RULM,Phenotype,0.0010683582534556778,4
HFMSE,Phenotype,0.0010683582534556778,4
creatinine,Phenotype,0.0010683582534556778,7
post-puncture headache,Phenotype,0.0010683582534556778,4
injection site pain,Phenotype,0.0010683582534556778,4
miR-206,Gene,0.0010683582534556778,7
lnc-GJA1-2,Gene,0.0010683582534556778,4
hospitalizations,Phenotype,0.0010683582534556778,4
Total SMA-HI,Phenotype,0.0010683582534556778,4
breathing,Phenotype,0.0010683582534556778,4
LINCMD1,Gene,0.0010683582534556778,4
total SMN,Gene,0.0010683582534556778,4
Hammersmith Functional Motor Scale-Expanded scores,Phenotype,0.0010683582534556778,4
mood,Phenotype,0.0010683582534556778,4
plasma nanoparticle concentration,Phenotype,0.0010683582534556778,4
forced vital capacity,Phenotype,0.0010683582534556778,4
independence,Phenotype,0.0010683582534556778,4
lung function,Phenotype,0.0010683582534556778,4
persisting symptoms of SMA,Phenotype,0.0010674543571586677,21
muscle cell differentiation,Phenotype,0.0010674543571586677,21
myogenic progression,Phenotype,0.0010674543571586677,21
myotube size,Phenotype,0.0010674543571586677,21
alpha-tubulin acetylation,Phenotype,0.0010674543571586677,21
postnatal growth,Phenotype,0.0010674543571586677,39
gross motor functions,Phenotype,0.0010674543571586677,39
SMN levels,Protein,0.0010674543571586677,39
body weight,Phenotype,0.0010674543571586677,39
neuromuscular dysfunction,Phenotype,0.0010485348479097147,39
neuromuscular transmission,Phenotype,0.0010485348479097147,39
readily releasable pool of motor neuronal synaptic vesicles,Phenotype,0.0010485348479097147,39
gastro-intestinal problems,Phenotype,0.0010480889340168452,4
retinal toxicity,Phenotype,0.0010480889340168452,4
motor development,Phenotype,0.0010480889340168452,4
adverse events,Phenotype,0.0010480889340168452,4
hnRNP G,Protein,0.0010480889340168452,4
SR splicing factors,Protein,0.0010480889340168452,4
muscle movement,Phenotype,0.0010480889340168452,4
respiratory support,Phenotype,0.0010480889340168452,4
hnRNP splicing factors,Protein,0.0010480889340168452,4
pregnant women,Phenotype,0.0010480889340168452,4
miR-133a-3p,Gene,0.0010480889340168452,7
SMN-FL,Gene,0.0010480889340168452,4
adipocyte formation,Phenotype,0.0010480889340168452,4
HRQOL,Phenotype,0.0010480889340168452,4
Smn activity,Phenotype,0.0010480889340168452,4
leukocytoclastic vasculitis,Phenotype,0.0010480889340168452,4
deletion c.(126+1_127-1)_(351+1_352-1) in exons 2 to 4,Phenotype,0.001034345215973,6
c.553T>C(p.Trp185Arg),Phenotype,0.001034345215973,6
c.314T>C(p.Leu105Pro),Phenotype,0.001034345215973,6
progressive myoclonic epilepsy,Phenotype,0.001034345215973,6
Farber lipogranulomatosis with spinal muscular atrophy with progressive myoclonic epilepsy,Phenotype,0.001034345215973,6
c.505T>C(p.Trp169Arg),Phenotype,0.001034345215973,6
adaptive functioning,Phenotype,0.0010323571651291452,18
multiplex ligation-dependent probe amplification,Drug,0.0010323571651291452,18
phenotype,Phenotype,0.0010323571651291452,18
neurofilament light chain,Protein,0.0010323571651291452,4
phenotypic variability,Phenotype,0.0010323571651291452,18
functional scores,Phenotype,0.0010144797312615997,49
walking with assistance,Phenotype,0.0010144797312615997,49
sitting with support,Phenotype,0.0010144797312615997,49
SMN2 splicing,Phenotype,0.0010144797312615997,25
SMN expression,Phenotype,0.0010144797312615997,25
motor performance,Phenotype,0.0010144797312615997,25
standing with support,Phenotype,0.0010144797312615997,49
HFMSE scores,Phenotype,0.0010144797312615997,49
muscle trophism,Phenotype,0.0010144797312615997,25
MN survival,Phenotype,0.0010144797312615997,25
sleep outcomes,Phenotype,0.0010144797312615997,49
developmental outcomes,Phenotype,0.0010144797312615997,49
MN loss,Phenotype,0.0010144797312615997,25
rotarod performance,Phenotype,0.0010072559186392722,42
grip performance,Phenotype,0.0010072559186392722,42
head control,Phenotype,0.0010072559186392722,42
permanent ventilation-free survival,Phenotype,0.0010072559186392722,42
hepatotoxicity,Phenotype,0.0010072559186392722,42
aminotransferase elevations,Phenotype,0.0010072559186392722,42
neuropathology,Phenotype,0.0010072559186392722,42
extracellular matrix dysregulation in adipose,Phenotype,0.0009909957070051649,6
stress-induced lipolysis,Phenotype,0.0009909957070051649,6
osteoclastogenic pathway activation,Phenotype,0.0009909957070051649,6
upper MN vulnerability,Phenotype,0.0009909957070051649,6
taurine homeostasis,Phenotype,0.0009909957070051649,6
neurofilament upregulation,Phenotype,0.0009909957070051649,6
tubulin dysregulation,Phenotype,0.0009909957070051649,6
collagen dysregulation,Phenotype,0.0009909957070051649,6
extracellular matrix gene dysregulation,Phenotype,0.0009909957070051649,6
osteoclast-dominant transcriptional signature,Phenotype,0.0009909957070051649,6
neutrophil degranulation activation,Phenotype,0.0009909957070051649,6
innate immune signaling activation,Phenotype,0.0009909957070051649,6
"impaired density, morphology and signalling of GABAergic Parvalbumin positive interneurons",Phenotype,0.0009909957070051649,6
lymphoid organ development,Phenotype,0.0009909957070051649,6
impaired B-cell development,Phenotype,0.0009909957070051649,6
atrophy-associated gene induction,Phenotype,0.0009909957070051649,6
HNRNPA1,Gene,0.0009350177924159976,0
GDNF,Gene,0.0009350177924159976,0
NGF,Gene,0.0009350177924159976,0
CMPK1,Gene,0.0009350177924159976,0
BDNF,Gene,0.0009350177924159976,0
ADRA1D,Gene,0.0009350177924159976,0
CHKA,Gene,0.0009350177924159976,0
FST,Gene,0.0009350177924159976,0
TRH,Gene,0.0009350177924159976,0
GSR,Gene,0.0009350177924159976,0
STRAP,Gene,0.0009350177924159976,0
RPE65,Gene,0.0009350177924159976,0
FXR,Protein,0.0009350177924159976,25
GCG,Gene,0.0009350177924159976,0
FUT1,Gene,0.0009350177924159976,0
NR3C1,Gene,0.0009350177924159976,0
TP53,Gene,0.0009350177924159976,0
CHIT1,Gene,0.0009350177924159976,0
GLE1,Gene,0.0009350177924159976,0
FUS,Gene,0.0009350177924159976,0
ACTB,Gene,0.0009350177924159976,0
PTEN,Protein,0.0009350177924159976,0
PTEN signaling,Protein,0.0009350177924159976,34
RBFOX1,Protein,0.0009350177924159976,35
non-invasive ventilation,Drug,0.0009350177924159976,36
Mdm2,Gene,0.0009350177924159976,38
Mdm4,Gene,0.0009350177924159976,38
SmB,Protein,0.0009350177924159976,38
LEP,Gene,0.0009350177924159976,0
TGF-beta,Protein,0.0009350177924159976,33
SMN1 gene,Gene,0.0009350177924159976,0
p53,Protein,0.0009350177924159976,38
DNA methylation,Phenotype,0.0009350177924159976,18
nutritional status,Phenotype,0.0009350177924159976,4
infection burden,Phenotype,0.0009350177924159976,4
pre-existing immunity to viral vectors,Phenotype,0.0009350177924159976,4
treatment,Drug,0.0009350177924159976,7
pre-symptomatic treatment,Drug,0.0009350177924159976,37
Hspa8 (G470R),Protein,0.0009350177924159976,39
LAT1,Protein,0.0009350177924159976,0
Slc7a5,Gene,0.0009350177924159976,21
motor improvement,Phenotype,0.0009350177924159976,40
X-linked spinal muscular atrophy,Phenotype,0.0009350177924159976,41
CD44,Protein,0.0009350177924159976,30
pERM,Protein,0.0009350177924159976,30
SYN1,Protein,0.0009350177924159976,31
SMN protein degeneration,Phenotype,0.0009350177924159976,52
HDAC6 inhibition,Drug,0.0009350177924159976,21
HDAC6,Protein,0.0009350177924159976,19
ASOs,Drug,0.0009350177924159976,20
HDAC6 inhibition combined with ASOs,Drug,0.0009350177924159976,49
EAAT1,Protein,0.0009350177924159976,32
SMN1 exon 7 homozygous deletion,Gene,0.0009350177924159976,52
DMT,Drug,0.0009350177924159976,14
R20Hz,Phenotype,0.0009350177924159976,15
R5-20 Hz,Phenotype,0.0009350177924159976,16
Hypoxia,Phenotype,0.0009350177924159976,17
labial pressure,Phenotype,0.0009350177924159976,42
tongue pressure,Phenotype,0.0009350177924159976,42
NEFH,Gene,0.0009350177924159976,52
miR-9,Gene,0.0009350177924159976,52
SMN transcript levels,Gene,0.0009350177924159976,7
TGR5,Protein,0.0009350177924159976,25
tofersen,Drug,0.0009350177924159976,0
Qalsody,Drug,0.0009350177924159976,0
forskolin,Drug,0.0009350177924159976,28
SMN1 gene therapy,Drug,0.0009350177924159976,29
miR-132,Gene,0.0009350177924159976,52
AAV9-Ab immunoglobulin G titer,Protein,0.0009350177924159976,4
ASCC1,Gene,0.0009350177924159976,43
SMN-restoring disease-modifying therapies,Drug,0.0009350177924159976,7
Pyridopyrimidine,Drug,0.0009350177924159976,26
JNK inhibitors,Drug,0.0009350177924159976,39
disease-modifying drugs,Drug,0.0009350177924159976,5
BIPAP,Drug,0.0009350177924159976,27
scoliosis surgery,Drug,0.0009350177924159976,18
GHRH,Protein,0.0009350177924159976,0
delandistrogene moxeparvovec,Drug,0.0009350177924159976,4
myostatin inhibitors,Drug,0.0009350177924159976,44
neuromuscular modulators,Drug,0.0009350177924159976,44
ion-channel blockers,Drug,0.0009350177924159976,44
SKG0201,Drug,0.0009350177924159976,42
NAIP,Gene,0.0009350177924159976,18
altered motor cortical GABAergic neurotransmission,Phenotype,0.0009350177924159976,45
motor cortex abnormalities,Phenotype,0.0009350177924159976,46
SMN1 deletion,Gene,0.0009350177924159976,11
SMN2 c.859G>C variant,Gene,0.0009350177924159976,18
robot,Drug,0.0009350177924159976,12
robot-assisted training,Drug,0.0009350177924159976,13
motor function training,Phenotype,0.0009350177924159976,7
combination therapy (nusinersen and OA),Drug,0.0009350177924159976,47
early treatment,Drug,0.0009350177924159976,48
creatinine-to-cystatin C ratio,Phenotype,0.0009350177924159976,7
VRK1,Gene,0.0009350177924159976,0
EXG001-307,Drug,0.0009350177924159976,7
haloperidol,Drug,0.0009350177924159976,25
JNK,Protein,0.0009350177924159976,39
JNK3,Protein,0.0009350177924159976,39
Anthrapyrazolone,Drug,0.0009350177924159976,26
Pyrimidinyl,Drug,0.0009350177924159976,26
GNR-100,Drug,0.0009350177924159976,39
neuromuscular blocking agents,Drug,0.0009350177924159976,0
sugammadex,Drug,0.0009350177924159976,0
BMI,Phenotype,0.0009350177924159976,7
myostatin,Protein,0.0009350177924159976,49
vWF,Protein,0.0009350177924159976,50
DMD,Gene,0.0009350177924159976,51
salanersen,Drug,0.0009350177924159976,18
STK-001,Drug,0.0009350177924159976,8
SMN2 copy number,Gene,0.0009350177924159976,9
single SMN2 copy,Gene,0.0009350177924159976,10
gene-based therapy,Drug,0.0009350177924159976,24
disease-modifying therapy,Drug,0.0009350177924159976,49
RTL3,Gene,0.0009350177924159976,0
2nd-generation vector,Drug,0.0009350177924159976,7
POLG,Gene,0.0009350177924159976,0
UCHL1,Gene,0.0009350177924159976,0
GRP,Gene,0.0009350177924159976,0
RIPK3 inhibitors,Drug,0.0009350177924159976,52
MLKL inhibitors,Drug,0.0009350177924159976,52
p.Arg288AlafsTer5,Protein,0.0009350177924159976,53
redox imbalance,Phenotype,0.0009350177924159976,0
glutathione homeostasis defects,Phenotype,0.0009350177924159976,54
VAPB,Gene,0.0009350177924159976,0
AAV9 vector carrying human ASAH1 coding sequence,Drug,0.0009350177924159976,6
ASAH1,Gene,0.0009350177924159976,6
ASAH1 c.456A>C,Gene,0.0009350177924159976,6
ASAH1 c.918-2A>G,Gene,0.0009350177924159976,6
antisense oligonucleotides,Drug,0.0009350177924159976,7
S-glutathionylation dysregulation,Phenotype,0.0009350177924159976,0
BAX,Gene,0.0009350177924159976,0
DES,Gene,0.0009350177924159976,0
VEGFA,Gene,0.0009350177924159976,0
COX8A,Gene,0.0009350177924159976,0
COX5A,Gene,0.0009350177924159976,0
CTSD,Gene,0.0009350177924159976,0
KCNB1,Gene,0.0009350177924159976,0
CSF2,Gene,0.0009350177924159976,0
CHKB,Gene,0.0009350177924159976,0
severe SMA,Phenotype,0.0009350177924159976,22
mild SMA,Phenotype,0.0009350177924159976,23
miR-378a,Gene,0.0009350177924159976,0
FGFR3,Gene,0.0009350177924159976,0
onasemnogene abeparvovec-xioi,Drug,0.0009350177924159976,24
Itvisma,Drug,0.0009350177924159976,55
LAMC2,Gene,0.0009350177924159976,0
ALDH5A1,Gene,0.0009350177924159976,0
ZFPM2,Gene,0.0009350177924159976,0
FENDRR,Gene,0.0009350177924159976,0
HEY2,Gene,0.0009350177924159976,0
ADAM19,Gene,0.0009350177924159976,0
ZSWIM8,Gene,0.0009350177924159976,0
FLNC,Gene,0.0009350177924159976,0
SCN4A,Gene,0.0009350177924159976,0
MET,Gene,0.0009350177924159976,0
JARID2,Gene,0.0009350177924159976,0
EP300,Gene,0.0009350177924159976,0
FOXM1,Gene,0.0009350177924159976,0
NKX2-1,Gene,0.0009350177924159976,0
DNAJB4,Gene,0.0009350177924159976,0
ADRA2B,Gene,0.0009350177924159976,0
MYOG,Gene,0.0009350177924159976,0
MYL11,Gene,0.0009350177924159976,0
NKX2-5,Gene,0.0009350177924159976,0
ROBO1,Gene,0.0009350177924159976,0
NODAL,Gene,0.0009350177924159976,0
TBCE,Gene,0.0009350177924159976,0
MEG3,Gene,0.0009350177924159976,0
KIF7,Gene,0.0009350177924159976,0
ABCA3,Gene,0.0009350177924159976,0
IGF1R,Gene,0.0009350177924159976,0
BAZ1B,Gene,0.0009350177924159976,0
ADAM17,Gene,0.0009350177924159976,0
ACKR3,Gene,0.0009350177924159976,0
PLXND1,Gene,0.0009350177924159976,0
KLF3,Gene,0.0009350177924159976,0
WNT7B,Gene,0.0009350177924159976,0
CCN1,Gene,0.0009350177924159976,0
CHD4,Gene,0.0009350177924159976,0
PDGFRA,Gene,0.0009350177924159976,0
SHROOM3,Gene,0.0009350177924159976,0
PAX3,Gene,0.0009350177924159976,0
SELENON,Gene,0.0009350177924159976,0
ATP2A1,Gene,0.0009350177924159976,0
SRSF10,Gene,0.0009350177924159976,0
NR1D2,Gene,0.0009350177924159976,0
MGRN1,Gene,0.0009350177924159976,0
NEFL,Gene,0.0009350177924159976,0
IGF1,Gene,0.0009350177924159976,0
STMN1,Gene,0.0009350177924159976,0
SNRPN,Gene,0.0009350177924159976,0
GTF2H2,Gene,0.0009350177924159976,0
TNF,Gene,0.0009350177924159976,0
MYH14,Gene,0.0009350177924159976,0
MAPT,Gene,0.0009350177924159976,0
SYP,Gene,0.0009350177924159976,0
UBC,Gene,0.0009350177924159976,0
RPS27A,Gene,0.0009350177924159976,0
UBB,Gene,0.0009350177924159976,0
UBA52,Gene,0.0009350177924159976,0
WDR77,Gene,0.0009350177924159976,0
H3P33,Gene,0.0009350177924159976,0
GTF2H4,Gene,0.0009350177924159976,0
ERCC3,Gene,0.0009350177924159976,0
GTF2H1,Gene,0.0009350177924159976,0
LARGE1,Gene,0.0009350177924159976,0
ERCC2,Gene,0.0009350177924159976,0
PRKDC,Gene,0.0009350177924159976,0
SCO2,Gene,0.0009350177924159976,0
GTF2H5,Gene,0.0009350177924159976,0
IFI44,Gene,0.0009350177924159976,0
GTF2H3,Gene,0.0009350177924159976,0
UBA1,Gene,0.0009350177924159976,0
NFASC,Gene,0.0009350177924159976,0
TTR,Gene,0.0009350177924159976,0
GEMIN4,Gene,0.0009350177924159976,0
MYH6,Gene,0.0009350177924159976,0
MSTN,Gene,0.0009350177924159976,0
